Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Total_2HT_H,Media_Total_2HT_A,CV_Media_Total_2HT_H,CV_Media_Total_2HT_A,PPJ_H,CV_Pontos_H,PPJ_A,CV_Pontos_A,Media_primeiro_gol_home,Media_primeiro_gol_away,Media_primeiro_gol_home_sofrido,Media_primeiro_gol_away_sofrido,xg_home,xg_away,xg_jogo,Power_home,Power_away,media_movel_chutes_por_gol_H,media_movel_chutes_por_gol_A,media_chutes_home,media_chutes_away,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Media_FT_Corners_H_MAR,Media_FT_Corners_H_SFR,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Media_FT_Corners_A_MAR,Media_FT_Corners_A_SFR,Diferente_0x0_Home,Diferente_0x0_Away,Diferente_0x1_Home,Diferente_0x1_Away
86LgDXec,PORTUGAL - LIGA PORTUGAL 2,2024-01-06,15:00,RODADA 16,Académico Viseu,Leiria,11.0,9.0,2.38,3.2,3.0,2.08,1.73,1.83,1.83,1.33,1.14,0.35,0.12,1.83,0.72,0.57,1.98,37.0,49.0,79.33,37.2,1.18,0.69,1.87,3.6,5.67,3.17,3.8,3.67,4.75,50.0,16.67,50.0,50.0,50.0,33.33,50.0,6.0,6.0,57.14,28.57,42.86,14.29,14.29,42.86,14.29,5.8,5.8,83.33,85.71,16.67,28.57
WCnkuYMr,ITÁLIA - SERIE A,2024-01-06,16:45,RODADA 19,Sassuolo,Fiorentina,16.0,4.0,3.1,3.4,2.2,1.73,2.08,1.62,2.2,1.75,1.25,0.12,0.35,0.88,1.55,1.75,0.79,22.4,22.67,49.88,41.0,0.92,1.79,2.71,1.57,1.86,2.04,2.31,5.2,3.6,75.0,37.5,25.0,25.0,50.0,62.5,62.5,7.67,7.67,100.0,25.0,0.0,50.0,50.0,37.5,50.0,5.5,5.5,100.0,100.0,75.0,25.0
M5eQHRwD,PORTUGAL - LIGA PORTUGAL,2024-01-06,17:30,RODADA 16,Braga,Vitória SC,4.0,5.0,1.53,4.33,5.5,1.62,2.25,1.75,2.0,2.17,1.17,0.31,0.12,1.67,0.9,1.67,0.9,50.8,14.5,22.33,59.4,1.39,1.3,2.69,1.0,3.8,2.67,2.17,6.0,2.25,100.0,16.67,0.0,50.0,16.67,66.67,83.33,7.0,7.0,83.33,33.33,16.67,50.0,66.67,50.0,50.0,6.75,6.75,100.0,100.0,66.67,16.67
UmvZNPhm,NORUEGA - ELITESERIEN,2024-04-06,13:00,RODADA 2,Bodo/Glimt,Viking,9.0,8.0,,,,,,,,1.9,1.8,0.08,0.06,2.5,0.43,1.9,0.76,30.78,44.88,21.14,46.0,2.05,1.79,3.84,7.8,-2.0,1.92,3.81,5.78,5.44,90.0,60.0,10.0,80.0,60.0,80.0,60.0,7.0,7.0,70.0,30.0,30.0,60.0,30.0,50.0,50.0,5.1,5.1,100.0,100.0,70.0,40.0
rHiFR4Ta,SUÉCIA - ALLSVENSKAN,2024-04-06,14:00,RODADA 2,Brommapojkarna,AIK Stockholm,4.0,11.0,,,,,,,,1.3,1.2,0.11,0.15,1.7,0.83,0.5,1.94,34.25,34.57,39.14,36.1,1.67,0.75,2.42,1.6,-0.4,3.5,4.71,5.38,3.8,70.0,50.0,30.0,50.0,30.0,70.0,60.0,5.5,5.5,80.0,60.0,20.0,10.0,10.0,60.0,70.0,5.3,5.3,90.0,100.0,60.0,40.0
pMPlBqqJ,SUÉCIA - ALLSVENSKAN,2024-04-06,14:00,RODADA 2,Djurgarden,Hacken,9.0,1.0,,,,,,,,1.0,2.0,0.35,0.16,2.0,0.67,0.8,1.54,38.12,51.5,13.75,48.1,1.5,0.49,1.99,8.0,0.1,4.19,2.8,5.2,5.56,60.0,30.0,40.0,60.0,30.0,40.0,30.0,5.7,5.7,70.0,10.0,30.0,20.0,20.0,60.0,60.0,6.1,6.1,90.0,100.0,30.0,40.0
h4lHdktc,AUSTRÁLIA - A-LEAGUE,2024-01-07,03:00,RODADA 11,Western United,Melbourne City,12.0,4.0,4.5,4.0,1.7,1.57,2.35,1.57,2.25,1.33,1.0,,,1.0,1.73,2.0,0.87,,25.0,64.0,46.5,0.67,1.15,1.82,1.0,4.0,,,,,33.33,0.0,66.67,33.33,0.0,33.33,33.33,,,66.67,33.33,33.33,66.67,33.33,33.33,33.33,,,100.0,100.0,100.0,33.33
Cz0ZXVW5,TURQUIA - SUPER LIG,2024-01-07,07:30,RODADA 19,Kayserispor,Sivasspor,4.0,10.0,1.95,3.4,3.5,1.88,1.98,1.73,2.0,1.5,1.62,0.26,0.19,1.88,0.66,1.25,1.19,46.67,19.0,41.0,40.14,1.7,1.2,2.9,6.0,4.29,2.78,2.78,3.8,4.5,50.0,12.5,50.0,50.0,25.0,25.0,37.5,6.33,6.33,100.0,62.5,0.0,37.5,37.5,62.5,62.5,3.6,3.6,75.0,100.0,25.0,50.0
GEDR9bk5,PORTUGAL - LIGA PORTUGAL 2,2024-01-07,08:00,RODADA 16,AVS,Leixoes,1.0,16.0,1.65,3.5,5.75,2.25,1.62,2.2,1.62,0.43,1.0,0.25,0.4,2.14,0.68,1.14,1.18,23.6,40.33,41.0,45.5,1.47,0.4,1.87,5.5,1.17,3.5,3.17,4.5,3.25,85.71,0.0,14.29,71.43,71.43,0.0,0.0,8.2,8.2,57.14,28.57,42.86,28.57,14.29,42.86,28.57,5.2,5.2,100.0,71.43,28.57,28.57
vPAOOCx2,ITÁLIA - SERIE A,2024-01-07,08:30,RODADA 19,Empoli,AC Milan,19.0,3.0,5.0,3.8,1.65,1.75,2.05,1.75,2.0,1.12,1.88,0.23,0.15,0.62,1.7,1.75,0.79,36.33,36.75,39.17,45.0,1.26,1.79,3.05,1.29,3.57,,2.4,2.8,4.2,50.0,12.5,50.0,12.5,12.5,12.5,25.0,4.83,4.83,87.5,75.0,12.5,50.0,50.0,75.0,75.0,3.17,3.17,87.5,100.0,62.5,75.0
jRbwXknC,TURQUIA - SUPER LIG,2024-01-07,10:00,RODADA 19,Istanbulspor,Fenerbahce,20.0,1.0,10.0,5.5,1.25,1.48,2.6,1.91,1.8,1.5,1.29,0.1,0.33,0.88,1.55,2.71,0.28,39.6,31.5,46.62,34.5,0.98,1.55,2.53,3.0,6.67,2.17,3.88,2.6,5.5,62.5,37.5,37.5,25.0,12.5,50.0,62.5,3.5,3.5,57.14,42.86,42.86,85.71,42.86,28.57,28.57,5.0,5.0,100.0,85.71,75.0,71.43
G4hWBlKn,GRÉCIA - SUPERLIGA,2024-01-07,10:00,RODADA 17,Panserraikos,Kifisias,11.0,13.0,2.2,3.3,3.4,1.9,1.9,1.75,2.0,1.2,1.8,0.0,0.07,1.6,0.84,0.2,2.24,39.75,75.0,46.75,33.0,1.91,0.63,2.54,3.25,-3.75,2.83,3.5,4.67,2.25,60.0,40.0,40.0,40.0,20.0,40.0,60.0,3.67,3.67,100.0,20.0,0.0,0.0,0.0,80.0,40.0,2.75,2.75,100.0,100.0,60.0,20.0
UDJDg74I,GRÉCIA - SUPERLIGA,2024-01-07,10:00,RODADA 17,Volos,Atromitos,10.0,8.0,2.4,3.3,3.0,1.9,1.9,1.7,2.05,2.29,1.71,0.12,0.11,0.71,1.56,0.71,1.56,33.2,51.25,49.14,28.86,1.73,1.26,2.99,1.33,0.83,3.62,5.0,5.5,4.0,57.14,42.86,42.86,14.29,14.29,85.71,71.43,4.0,4.0,100.0,57.14,0.0,14.29,0.0,71.43,57.14,3.71,3.71,100.0,100.0,85.71,28.57
0nigvhxk,ITÁLIA - SERIE A,2024-01-07,11:00,RODADA 19,Torino,Napoli,10.0,8.0,3.0,3.2,2.4,2.15,1.67,1.91,1.91,1.12,1.5,0.19,0.17,1.88,0.66,1.75,0.79,46.0,36.8,52.67,47.83,0.89,1.26,2.15,0.0,3.57,3.75,3.0,3.8,6.8,37.5,12.5,62.5,50.0,25.0,37.5,25.0,6.6,6.6,62.5,25.0,37.5,50.0,50.0,50.0,50.0,5.5,5.5,75.0,87.5,25.0,25.0
vwjcwCie,ITÁLIA - SERIE A,2024-01-07,11:00,RODADA 19,Udinese,Lazio,15.0,9.0,3.4,3.2,2.2,2.2,1.65,1.95,1.8,1.38,1.25,0.28,0.12,0.75,0.62,1.25,1.19,33.6,31.86,47.57,49.67,1.06,1.59,2.65,0.86,3.43,3.5,3.25,5.4,3.6,75.0,37.5,25.0,0.0,37.5,50.0,62.5,5.67,5.67,87.5,37.5,12.5,37.5,62.5,50.0,62.5,5.83,5.83,87.5,100.0,62.5,62.5
xOENAvza,PORTUGAL - LIGA PORTUGAL 2,2024-01-07,11:00,RODADA 16,Ferreira,FC Porto B,10.0,8.0,2.7,3.4,2.5,1.98,1.88,1.73,2.0,0.86,2.17,0.18,0.24,1.86,0.79,1.17,1.26,45.6,52.17,38.5,37.83,1.7,1.39,3.09,1.67,1.2,3.75,4.11,5.4,5.67,71.43,57.14,28.57,57.14,28.57,42.86,42.86,5.33,5.33,66.67,33.33,33.33,33.33,0.0,83.33,100.0,7.25,7.25,85.71,100.0,42.86,50.0
nVmSCU4t,GRÉCIA - SUPERLIGA,2024-01-07,12:00,RODADA 17,Panathinaikos,Panetolikos,2.0,12.0,1.22,6.0,15.0,1.53,2.4,2.1,1.67,1.8,0.71,0.14,0.16,2.0,0.71,0.29,1.71,17.2,41.0,27.5,22.67,2.57,0.57,3.14,2.75,-2.67,4.04,,9.0,3.75,100.0,80.0,0.0,60.0,60.0,100.0,40.0,5.25,5.25,85.71,42.86,14.29,0.0,0.0,57.14,42.86,3.83,3.83,100.0,85.71,20.0,28.57
AyDV8I4B,PORTUGAL - LIGA PORTUGAL 2,2024-01-07,12:30,RODADA 16,Feirense,Torreense,12.0,5.0,2.7,3.0,2.7,2.25,1.62,1.91,1.8,1.17,1.0,0.14,0.38,2.0,0.77,1.57,0.89,46.75,41.25,55.67,17.6,0.98,0.89,1.87,2.8,6.33,2.5,1.67,3.0,3.0,50.0,16.67,50.0,66.67,33.33,16.67,16.67,4.5,4.5,71.43,28.57,28.57,42.86,14.29,42.86,42.86,4.8,4.8,100.0,85.71,50.0,28.57
YklrW91I,TURQUIA - SUPER LIG,2024-01-07,13:00,RODADA 19,Galatasaray,Konyaspor,2.0,16.0,1.29,5.5,7.5,1.53,2.4,2.0,1.73,1.57,1.43,0.16,0.24,3.0,0.0,1.0,1.0,26.86,44.43,53.5,44.67,2.04,0.77,2.81,7.0,2.0,2.69,3.5,6.0,3.5,100.0,42.86,0.0,100.0,100.0,71.43,57.14,5.8,5.8,57.14,42.86,42.86,14.29,14.29,42.86,85.71,3.4,3.4,100.0,100.0,57.14,57.14
U30NqEER,ITÁLIA - SERIE A,2024-01-07,14:00,RODADA 19,Salernitana,Juventus,20.0,2.0,6.0,4.2,1.5,2.0,1.9,2.05,1.7,1.75,1.0,0.21,0.14,0.88,1.13,2.12,0.59,63.67,22.86,30.62,50.0,1.26,1.5,2.76,3.86,4.43,3.67,2.37,3.8,3.5,75.0,37.5,25.0,12.5,0.0,62.5,75.0,6.0,6.0,75.0,25.0,25.0,62.5,62.5,37.5,37.5,3.33,3.33,100.0,87.5,62.5,62.5
z9LaWQh6,PORTUGAL - LIGA PORTUGAL,2024-01-07,15:00,RODADA 16,Rio Ave,Portimonense,17.0,15.0,1.85,3.5,4.0,2.05,1.75,1.91,1.91,1.86,2.43,0.08,0.2,1.29,0.97,0.57,1.98,59.0,33.75,50.0,35.43,1.91,0.89,2.8,1.5,-0.5,1.88,2.0,3.6,2.4,42.86,14.29,57.14,28.57,14.29,28.57,57.14,5.0,5.0,85.71,28.57,14.29,14.29,28.57,57.14,57.14,3.2,3.2,100.0,100.0,14.29,28.57
nuBIpfaL,ITÁLIA - SERIE A,2024-01-07,16:45,RODADA 19,AS Roma,Atalanta,7.0,6.0,2.38,3.25,3.0,2.15,1.67,1.91,1.91,2.0,1.38,0.13,0.11,2.12,0.59,0.88,1.55,48.88,49.17,45.5,32.83,1.77,0.85,2.62,6.0,1.57,2.3,3.0,4.67,4.4,62.5,25.0,37.5,62.5,37.5,50.0,50.0,5.67,5.67,75.0,37.5,25.0,25.0,12.5,50.0,50.0,5.33,5.33,100.0,100.0,25.0,62.5
pKSnZS8m,PORTUGAL - LIGA PORTUGAL,2024-01-07,17:30,RODADA 16,Famalicao,Chaves,7.0,18.0,1.83,3.6,4.0,2.0,1.85,1.91,1.91,1.0,1.71,0.21,0.18,1.33,1.02,0.43,2.65,48.0,70.0,20.25,16.17,1.9,0.8,2.7,2.4,-4.5,3.89,6.75,4.25,5.2,66.67,66.67,33.33,33.33,16.67,50.0,50.0,8.25,8.25,71.43,57.14,28.57,14.29,0.0,71.43,28.57,5.5,5.5,83.33,100.0,33.33,42.86
Q1IMGMbo,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2024-02-07,15:00,RODADA 19,Al-Taee,Al-Ittihad,,7.0,3.4,3.8,1.85,1.53,2.38,1.53,2.38,1.57,1.25,0.19,0.23,1.86,0.79,1.75,0.79,50.17,47.29,17.8,23.25,0.85,2.0,2.85,5.67,3.57,1.75,3.93,3.2,6.5,71.43,57.14,28.57,57.14,28.57,71.43,57.14,4.67,4.67,62.5,37.5,37.5,50.0,12.5,50.0,37.5,6.14,6.14,100.0,100.0,57.14,62.5
Wh81yuAl,AUSTRÁLIA - A-LEAGUE,2024-01-08,05:45,RODADA 12,Adelaide United,Macarthur FC,8.0,5.0,1.73,4.2,4.0,1.44,2.7,1.5,2.5,2.25,2.75,0.0,0.43,1.5,1.15,1.0,1.41,39.67,34.75,47.0,36.33,1.98,2.0,3.98,7.0,1.33,,,,,75.0,25.0,25.0,50.0,50.0,75.0,50.0,6.5,6.5,75.0,50.0,25.0,25.0,50.0,75.0,75.0,,,100.0,100.0,50.0,100.0
SrIiYnOg,PORTUGAL - LIGA PORTUGAL,2024-01-08,17:15,RODADA 16,Moreirense,Casa Pia,6.0,12.0,1.91,3.5,4.0,2.35,1.57,2.1,1.67,1.67,1.71,0.23,0.16,1.33,1.02,1.43,1.06,44.6,49.2,38.5,33.2,1.55,1.6,3.15,2.0,4.5,2.88,3.78,3.25,4.25,50.0,50.0,50.0,33.33,33.33,50.0,66.67,4.75,4.75,71.43,28.57,28.57,42.86,42.86,57.14,42.86,5.8,5.8,83.33,100.0,33.33,42.86
EsZEwMX9,ÁUSTRIA - BUNDESLIGA,2024-02-09,16:30,RODADA 18,Red Bull Salzburg,Sturm Graz,1.0,2.0,1.83,3.75,4.2,1.73,2.08,1.67,2.1,1.29,1.29,0.38,0.17,2.14,0.68,2.0,0.65,43.0,40.86,35.33,38.8,1.26,1.13,2.39,3.0,5.17,2.56,2.9,4.8,3.8,57.14,28.57,42.86,71.43,28.57,28.57,14.29,5.17,5.17,85.71,42.86,14.29,57.14,28.57,57.14,71.43,3.83,3.83,100.0,100.0,42.86,42.86
jNShWwQq,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,Altach,BW Linz,10.0,9.0,2.2,3.5,3.1,2.05,1.8,1.8,1.95,1.14,1.86,0.43,0.15,1.43,1.06,0.86,1.71,45.25,31.25,39.5,28.17,1.62,0.4,2.02,3.67,-2.0,4.33,2.56,5.0,3.5,42.86,14.29,57.14,42.86,28.57,42.86,28.57,6.0,6.0,71.43,57.14,28.57,28.57,28.57,57.14,42.86,2.86,2.86,85.71,100.0,42.86,57.14
lEtRzKHS,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,Austria Vienna,Hartberg,8.0,4.0,2.1,3.75,3.1,1.8,2.0,1.7,2.05,0.71,1.57,0.21,0.25,1.57,0.62,1.29,0.97,43.33,29.5,,35.25,1.26,0.0,1.26,2.67,2.5,2.25,2.5,4.4,4.4,28.57,28.57,71.43,28.57,14.29,28.57,14.29,5.33,5.33,57.14,42.86,42.86,28.57,28.57,57.14,57.14,4.67,4.67,42.86,85.71,14.29,71.43
84YIxtmG,ÁUSTRIA - BUNDESLIGA,2024-02-11,13:00,RODADA 18,LASK,A. Klagenfurt,3.0,5.0,1.57,4.2,5.25,1.62,2.25,1.7,2.05,1.0,1.86,0.39,0.15,2.71,0.28,2.0,0.65,42.33,29.8,,28.75,0.85,0.0,0.85,6.67,7.83,3.6,2.04,5.67,4.33,57.14,14.29,42.86,85.71,57.14,14.29,14.29,6.29,6.29,85.71,28.57,14.29,57.14,42.86,71.43,42.86,3.86,3.86,85.71,85.71,14.29,57.14
GC8r7r72,AUSTRÁLIA - A-LEAGUE,2024-01-12,03:30,RODADA 27,Macarthur FC,Western United,5.0,12.0,1.75,4.0,4.0,1.5,2.5,1.5,2.5,2.0,1.6,0.0,0.32,1.75,0.86,0.6,2.24,50.0,32.5,43.33,39.0,2.12,1.18,3.3,0.0,-1.25,6.5,,6.5,4.0,50.0,25.0,50.0,50.0,0.0,50.0,50.0,5.5,5.5,60.0,60.0,40.0,20.0,0.0,80.0,40.0,4.33,4.33,100.0,100.0,50.0,20.0
f37n62M8,AUSTRÁLIA - A-LEAGUE,2024-01-12,06:15,RODADA 27,Melbourne City,WS Wanderers,4.0,3.0,1.85,4.0,3.6,1.53,2.4,1.53,2.38,3.0,2.0,0.08,,1.2,0.91,0.67,0.87,41.75,53.5,56.67,40.33,1.9,1.46,3.36,1.25,2.0,4.75,,6.0,,40.0,0.0,60.0,20.0,40.0,60.0,60.0,5.67,5.67,66.67,66.67,33.33,0.0,0.0,66.67,66.67,,,80.0,100.0,40.0,66.67
beE6AVuG,PORTUGAL - LIGA PORTUGAL 2,2024-01-12,15:00,RODADA 17,Leixoes,Oliveirense,16.0,14.0,,,,,,,,0.83,1.17,0.63,0.18,1.0,1.1,1.17,1.26,72.0,45.75,34.0,31.6,0.8,0.57,1.37,2.6,3.2,4.67,3.0,4.0,3.5,50.0,0.0,50.0,16.67,16.67,16.67,33.33,4.8,4.8,83.33,33.33,16.67,33.33,33.33,50.0,50.0,4.2,4.2,66.67,100.0,16.67,33.33
lpunGGW4,PAÍSES BAIXOS - EREDIVISIE,2024-01-12,16:00,RODADA 17,Waalwijk,Heracles,16.0,15.0,1.95,3.5,3.6,1.7,2.1,1.62,2.2,2.0,2.29,0.23,0.21,0.57,1.98,0.71,1.56,33.4,48.4,50.86,28.0,1.47,1.9,3.37,0.17,6.67,2.67,2.17,3.25,4.25,100.0,28.57,0.0,14.29,42.86,85.71,71.43,3.4,3.4,85.71,42.86,14.29,14.29,14.29,71.43,57.14,4.5,4.5,100.0,100.0,71.43,57.14
M5yDe6aq,ALEMANHA - BUNDESLIGA,2024-01-12,16:30,RODADA 17,Bayern,Hoffenheim,2.0,7.0,1.14,9.0,12.0,1.25,4.0,1.75,2.0,2.33,2.0,0.05,0.15,2.67,0.31,1.86,0.79,11.83,33.29,59.0,41.5,2.31,1.41,3.72,12.6,6.67,2.61,1.75,9.0,4.75,100.0,83.33,0.0,83.33,83.33,100.0,50.0,7.8,7.8,85.71,57.14,14.29,57.14,57.14,71.43,85.71,5.0,5.0,100.0,100.0,50.0,71.43
j9FLQod9,ITÁLIA - SERIE B,2024-01-12,16:30,RODADA 20,Catanzaro,Lecco,7.0,16.0,1.8,3.5,4.5,1.95,1.9,1.8,1.95,1.62,1.11,0.16,0.14,1.62,0.93,0.78,1.25,25.86,33.0,28.0,42.71,1.26,0.89,2.15,4.71,0.75,4.29,3.83,5.0,4.6,75.0,62.5,25.0,50.0,25.0,62.5,50.0,5.0,5.0,77.78,11.11,22.22,11.11,33.33,44.44,44.44,4.71,4.71,100.0,77.78,37.5,22.22
rsHzcfnt,ESPANHA - LALIGA2,2024-01-12,16:30,RODADA 22,Eibar,Racing Santander,7.0,6.0,1.8,3.6,4.33,2.03,1.83,1.83,1.83,1.44,1.67,0.15,0.13,1.78,0.68,1.11,1.05,33.5,40.33,38.88,31.38,2.28,1.33,3.61,6.62,0.88,2.52,4.08,5.6,4.67,100.0,33.33,0.0,44.44,55.56,44.44,77.78,5.57,5.57,77.78,44.44,22.22,22.22,11.11,44.44,66.67,4.29,4.29,100.0,88.89,55.56,44.44
bc9CDMFE,FRANÇA - LIGUE 1,2024-01-12,17:00,RODADA 18,Marseille,Strasbourg,6.0,9.0,1.5,4.5,5.75,1.86,2.04,1.95,1.8,0.71,1.14,0.16,0.1,2.43,0.4,1.0,1.41,19.2,66.25,34.0,30.33,1.79,0.57,2.36,4.33,-0.33,2.0,,4.75,0.75,71.43,57.14,28.57,71.43,57.14,57.14,28.57,5.5,5.5,85.71,42.86,14.29,28.57,14.29,57.14,42.86,3.0,3.0,71.43,100.0,28.57,28.57
4OL5wzh8,INGLATERRA - CHAMPIONSHIP,2024-01-12,17:00,RODADA 27,Hull,Norwich,7.0,13.0,2.05,3.6,3.4,1.83,2.03,1.67,2.1,1.4,1.8,0.21,0.16,1.8,0.73,0.9,1.33,36.25,26.78,45.57,34.78,2.16,1.34,3.5,7.8,-0.8,3.95,2.29,4.33,4.0,70.0,40.0,30.0,50.0,30.0,50.0,60.0,6.14,6.14,90.0,80.0,10.0,20.0,30.0,80.0,80.0,4.38,4.38,90.0,100.0,40.0,80.0
h67VqpN5,PORTUGAL - LIGA PORTUGAL,2024-01-12,17:15,RODADA 17,Portimonense,Farense,15.0,8.0,2.6,3.3,2.75,2.05,1.82,1.75,2.0,1.0,1.67,0.32,0.16,1.33,1.02,1.17,1.26,48.33,32.25,28.6,49.83,1.39,1.8,3.19,1.0,2.8,4.75,1.38,4.75,2.75,100.0,66.67,0.0,33.33,33.33,50.0,83.33,5.2,5.2,66.67,33.33,33.33,33.33,16.67,50.0,66.67,3.6,3.6,100.0,100.0,16.67,33.33
zN6XDfNO,MÉXICO - LIGA MX,2024-01-12,22:00,ENCERRAMENTO ,Querétaro,Toluca,14.0,9.0,2.75,3.2,2.55,1.88,1.98,1.75,2.0,1.14,1.14,0.21,0.39,1.0,1.0,0.71,1.56,59.5,55.4,40.8,37.17,1.0,0.98,1.98,1.17,0.83,3.17,3.8,3.17,4.67,71.43,0.0,28.57,14.29,28.57,28.57,71.43,4.71,4.71,85.71,42.86,14.29,14.29,14.29,42.86,57.14,4.71,4.71,85.71,100.0,0.0,57.14
QonsYc8t,MÉXICO - LIGA MX,2024-01-13,00:00,ENCERRAMENTO ,Mazatlan FC,Atlético San Luis,18.0,5.0,2.55,3.3,2.63,1.75,2.05,1.62,2.2,1.75,2.33,0.11,0.09,1.75,0.79,1.22,1.14,44.71,51.56,44.6,42.0,1.4,1.55,2.95,6.86,2.0,2.92,3.5,4.14,5.29,50.0,25.0,50.0,50.0,37.5,62.5,50.0,2.88,2.88,66.67,22.22,33.33,33.33,22.22,66.67,77.78,3.71,3.71,100.0,100.0,37.5,77.78
lQ6j5MyF,AUSTRÁLIA - A-LEAGUE,2024-01-13,03:15,RODADA 27,Central Coast Mariners,Melbourne Victory,6.0,1.0,2.5,3.5,2.63,1.53,2.4,1.5,2.5,1.8,2.25,0.16,0.16,1.4,1.08,2.0,0.58,38.6,38.33,49.25,36.5,1.66,1.67,3.33,4.75,6.33,,,,,80.0,60.0,20.0,40.0,40.0,100.0,80.0,5.33,5.33,50.0,50.0,50.0,50.0,25.0,50.0,50.0,,,100.0,75.0,40.0,75.0
CAr0F8AE,INGLATERRA - PREMIER LEAGUE,2024-01-13,09:30,RODADA 21,Chelsea,Fulham,10.0,13.0,1.6,3.8,5.5,1.62,2.25,1.67,2.1,1.78,2.0,0.14,0.19,1.67,0.79,0.56,1.82,26.0,40.2,47.0,40.71,1.9,0.57,2.47,7.5,1.62,3.06,2.5,4.6,3.4,66.67,44.44,33.33,44.44,33.33,55.56,55.56,4.5,4.5,66.67,33.33,33.33,11.11,11.11,66.67,44.44,3.5,3.5,100.0,88.89,66.67,55.56
voUJFWa1,INGLATERRA - CHAMPIONSHIP,2024-01-13,09:30,RODADA 27,Coventry,Leicester,8.0,1.0,3.6,3.5,2.0,1.9,1.95,1.73,2.0,1.1,1.3,0.38,0.23,1.8,0.57,2.3,0.5,38.88,29.11,51.25,51.88,1.1,1.04,2.14,5.0,4.5,2.33,2.94,4.0,6.0,60.0,10.0,40.0,40.0,40.0,20.0,40.0,6.67,6.67,80.0,40.0,20.0,70.0,60.0,50.0,70.0,3.75,3.75,80.0,100.0,10.0,30.0
dnGHRRt3,ITÁLIA - SERIE B,2024-01-13,10:00,RODADA 20,Bari,Ternana,11.0,17.0,2.1,3.25,3.6,2.2,1.65,2.0,1.75,1.12,2.12,0.19,0.06,1.38,0.77,1.0,1.31,54.2,38.29,49.4,33.5,1.15,1.2,2.35,1.57,-0.86,3.25,4.5,3.6,4.75,37.5,25.0,62.5,25.0,0.0,37.5,50.0,6.17,6.17,75.0,62.5,25.0,25.0,0.0,87.5,87.5,5.4,5.4,75.0,100.0,37.5,75.0
lfYOP5BF,ITÁLIA - SERIE B,2024-01-13,10:00,RODADA 20,Cittadella,Palermo,4.0,6.0,2.15,3.2,3.4,2.25,1.62,1.95,1.8,1.33,1.88,0.14,0.22,2.22,0.54,1.62,0.73,29.71,32.83,25.33,49.8,1.34,1.26,2.6,1.12,4.71,2.29,2.44,4.0,3.6,88.89,44.44,11.11,66.67,66.67,66.67,55.56,4.71,4.71,62.5,25.0,37.5,37.5,37.5,37.5,50.0,5.67,5.67,88.89,87.5,66.67,50.0
Uing8wtr,ITÁLIA - SERIE B,2024-01-13,10:00,RODADA 20,Como,Spezia,3.0,19.0,1.85,3.3,4.5,2.1,1.7,1.95,1.8,2.25,2.0,0.16,0.27,2.12,0.59,0.67,1.5,36.25,27.8,45.0,38.0,2.24,1.3,3.54,6.0,-0.25,3.1,2.08,4.0,4.67,75.0,12.5,25.0,62.5,50.0,75.0,75.0,3.83,3.83,66.67,33.33,33.33,11.11,33.33,77.78,55.56,4.43,4.43,100.0,88.89,62.5,44.44
GxAWDGqp,ITÁLIA - SERIE B,2024-01-13,10:00,RODADA 20,Modena,Brescia,8.0,9.0,2.1,3.25,3.75,2.35,1.57,2.05,1.7,1.12,1.12,0.25,0.15,1.75,0.79,1.5,0.87,17.2,38.0,49.8,26.2,0.69,1.06,1.75,5.57,3.57,2.5,3.17,3.8,4.2,62.5,12.5,37.5,50.0,37.5,25.0,37.5,6.83,6.83,62.5,37.5,37.5,37.5,12.5,25.0,50.0,4.67,4.67,87.5,87.5,50.0,50.0
bXwA4eu7,ITÁLIA - SERIE B,2024-01-13,10:00,RODADA 20,Sudtirol,FeralpiSalo,15.0,20.0,2.05,3.2,3.6,2.4,1.53,2.05,1.7,2.0,1.89,0.13,0.09,1.0,1.31,0.89,1.43,50.2,40.67,38.29,37.44,1.9,1.47,3.37,2.71,2.62,1.22,4.33,3.0,3.17,62.5,25.0,37.5,25.0,0.0,62.5,62.5,2.67,2.67,77.78,11.11,22.22,22.22,22.22,66.67,66.67,5.14,5.14,87.5,100.0,75.0,33.33
W2iMwXoI,ESPANHA - LALIGA2,2024-01-13,10:00,RODADA 22,Alcorcón,Mirandes,20.0,13.0,2.55,3.1,2.9,2.25,1.62,1.91,1.8,1.22,1.33,0.24,0.27,0.89,1.43,0.89,1.04,42.5,53.0,46.57,40.5,0.53,0.69,1.22,-1.0,1.0,3.67,1.62,3.5,3.83,66.67,11.11,33.33,22.22,22.22,22.22,33.33,4.57,4.57,44.44,44.44,55.56,11.11,0.0,44.44,44.44,4.14,4.14,88.89,77.78,55.56,44.44
