Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Total_2HT_H,Media_Total_2HT_A,CV_Media_Total_2HT_H,CV_Media_Total_2HT_A,PPJ_H,CV_Pontos_H,PPJ_A,CV_Pontos_A,Media_primeiro_gol_home,Media_primeiro_gol_away,Media_primeiro_gol_home_sofrido,Media_primeiro_gol_away_sofrido,xg_home,xg_away,xg_jogo,Power_home,Power_away,media_movel_chutes_por_gol_H,media_movel_chutes_por_gol_A,media_chutes_home,media_chutes_away,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Media_FT_Corners_H_MAR,Media_FT_Corners_H_SFR,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Media_FT_Corners_A_MAR,Media_FT_Corners_A_SFR,Diferente_0x0_Home,Diferente_0x0_Away,Diferente_0x1_Home,Diferente_0x1_Away
UFMkEDti,PORTUGAL - LIGA PORTUGAL 2,2024-01-06,08:00,RODADA 16,Oliveirense,Maritimo,14.0,4.0,5.0,3.75,1.67,1.88,1.98,1.83,1.83,2.29,1.29,0.09,0.14,1.14,1.18,2.14,0.68,55.0,35.86,34.17,25.75,0.89,1.88,2.77,4.33,6.0,2.54,1.75,5.25,4.0,71.43,42.86,28.57,28.57,28.57,85.71,85.71,6.4,6.4,71.43,42.86,28.57,71.43,28.57,57.14,57.14,7.4,7.4,85.71,100.0,42.86,71.43
fXhBnGU8,ITÁLIA - SERIE A,2024-01-06,08:30,RODADA 19,Inter,Verona,1.0,17.0,1.18,7.0,13.0,1.53,2.4,2.25,1.57,1.75,1.25,0.11,0.21,2.38,0.5,0.62,1.7,26.88,64.5,43.33,33.67,1.55,0.49,2.04,5.71,2.71,2.23,3.67,5.8,3.0,100.0,37.5,0.0,75.0,100.0,62.5,37.5,6.33,6.33,62.5,12.5,37.5,12.5,0.0,37.5,37.5,3.33,3.33,100.0,87.5,25.0,50.0
hl2yYVlI,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,09:30,RODADA 27,Fleetwood,Derby,24.0,4.0,5.0,3.8,1.67,1.85,1.95,1.8,1.95,0.8,1.3,0.78,0.27,0.4,2.42,2.2,0.6,34.0,35.67,26.67,44.6,0.45,1.7,2.15,0.5,2.9,,2.0,2.4,3.57,90.0,40.0,10.0,10.0,10.0,40.0,20.0,8.43,8.43,70.0,30.0,30.0,70.0,50.0,50.0,40.0,5.62,5.62,100.0,100.0,70.0,70.0
8fyFlhPj,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,10:00,RODADA 27,Harrogate,Doncaster,14.0,19.0,2.4,3.4,2.8,1.9,1.95,1.67,2.1,1.6,1.3,0.32,0.14,1.4,1.02,0.8,1.54,46.25,40.83,34.78,37.89,1.67,1.39,3.06,1.3,-1.3,3.04,4.0,4.33,5.2,80.0,40.0,20.0,40.0,30.0,60.0,70.0,4.75,4.75,90.0,40.0,10.0,20.0,20.0,70.0,60.0,6.14,6.14,100.0,90.0,60.0,30.0
0xSekX1t,TURQUIA - SUPER LIG,2024-01-06,10:00,RODADA 19,Basaksehir,Adana Demirspor,14.0,6.0,1.8,3.75,3.8,1.7,2.1,1.67,2.1,1.0,2.0,0.29,0.21,1.43,1.06,0.57,0.94,27.6,53.5,26.0,31.43,1.67,1.0,2.67,-0.33,-1.33,1.61,4.0,3.2,5.0,85.71,57.14,14.29,42.86,28.57,42.86,42.86,3.0,3.0,85.71,28.57,14.29,0.0,14.29,57.14,85.71,6.4,6.4,100.0,100.0,57.14,57.14
MBGZ7xKH,PORTUGAL - LIGA PORTUGAL 2,2024-01-06,11:00,RODADA 16,Penafiel,Vilaverdense,15.0,18.0,1.83,3.5,4.33,2.15,1.67,2.0,1.73,1.5,1.57,0.38,0.16,1.67,0.9,0.57,1.98,25.25,57.0,37.0,36.0,1.88,0.8,2.68,7.4,-0.33,4.0,3.0,4.0,4.5,66.67,16.67,33.33,50.0,33.33,50.0,33.33,4.5,4.5,71.43,14.29,28.57,14.29,14.29,28.57,28.57,5.4,5.4,83.33,100.0,33.33,28.57
CndvefnN,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Barrow,Tranmere,4.0,15.0,1.75,3.6,4.5,2.05,1.75,1.91,1.8,1.3,1.9,0.17,0.21,1.8,0.57,0.8,1.54,41.5,34.17,38.5,45.0,1.5,1.41,2.91,3.67,2.5,3.33,2.5,4.17,3.6,60.0,10.0,40.0,40.0,30.0,30.0,60.0,4.88,4.88,70.0,20.0,30.0,20.0,30.0,40.0,50.0,2.57,2.57,80.0,100.0,30.0,40.0
jwerfE1T,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Bradford City,Crawley,13.0,12.0,1.73,4.0,4.2,1.75,2.05,1.73,2.0,1.1,1.6,0.12,0.12,1.7,0.68,1.1,1.25,61.33,34.86,33.67,44.78,1.55,0.77,2.32,2.78,1.2,3.92,3.67,4.83,4.17,50.0,30.0,50.0,40.0,10.0,30.0,60.0,5.62,5.62,80.0,30.0,20.0,30.0,30.0,50.0,60.0,5.38,5.38,90.0,100.0,20.0,40.0
McPdDy2i,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Mansfield,Crewe,2.0,6.0,1.5,4.5,5.5,1.65,2.2,1.73,2.0,1.0,1.6,0.35,0.41,2.2,0.47,1.3,0.96,29.57,44.25,23.67,31.89,1.41,0.77,2.18,5.33,2.2,2.54,2.35,4.71,4.83,60.0,30.0,40.0,60.0,40.0,40.0,30.0,6.89,6.89,90.0,40.0,10.0,30.0,10.0,50.0,70.0,7.0,7.0,70.0,100.0,30.0,50.0
0plDizbL,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Milton Keynes,Wrexham,8.0,3.0,2.82,3.4,2.32,1.6,2.2,1.5,2.4,1.2,1.1,0.16,0.28,2.3,0.5,1.4,0.84,28.2,33.86,43.17,55.67,1.7,0.98,2.68,4.1,5.6,2.35,3.7,5.33,3.71,90.0,50.0,10.0,70.0,70.0,50.0,60.0,3.71,3.71,60.0,20.0,40.0,30.0,50.0,20.0,40.0,6.22,6.22,100.0,90.0,40.0,40.0
